imdb_title_id,title,log_us_sale,log_cn_sale,comedy,acti_only,adv_only,act.adv,martial_arts,china_filming_location,genre_animation,genre_family,suicide,lgbtq,drug,blacklist_brad_pitt,time_travel,occult,nudity,magic,mpaa_r,taiwan,tibet,vigilantism,blacklist_richard_gere,anti_communism,individualism
tt1243974,Aloha,16.8632239,-9.9999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0318462,The Motorcycle Diaries,16.86262328,-9.9999,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
tt1489887,Booksmart,16.86109171,-9.9999,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
tt0109936,Greedy,16.8604775,-9.9999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
tt0758758,Into the Wild,16.85927061,-9.9999,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
tt0315733,21 Grams,16.85921558,-9.9999,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
tt0264796,Life as a House,16.85842998,-9.9999,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
tt0337917,Catch That Kid,16.8579891,-9.9999,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0297884,Far from Heaven,16.85760495,-9.9999,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0841046,Walk Hard: The Dewey Cox Story,16.85724151,-9.9999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
tt0462519,School for Scoundrels,16.85690875,-9.9999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt1547234,Premium Rush,16.85664263,-9.9999,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0113538,A Kid in King Arthur's Court,16.85281791,-9.9999,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
tt1430615,Big Miracle,16.85079854,-9.9999,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0144084,American Psycho,16.84763903,-9.9999,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
tt7734218,Stuber,16.8473068,-9.9999,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
tt1403981,Remember Me,16.84664115,-9.9999,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt3513548,Richard Jewell,16.84619266,-9.9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
tt0119326,How to Be a Player,16.84500301,-9.9999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
tt0395584,The Devil's Rejects,16.84488965,-9.9999,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
tt0113690,Lord of Illusions,16.8444066,-9.9999,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0
tt0362165,Son of the Mask,16.84333027,-9.9999,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt7329656,47 Meters Down: Uncaged,16.84239759,-9.9999,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0156841,The Next Best Thing,16.84233624,-9.9999,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
tt0208988,Get Carter,16.84077404,-9.9999,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
tt1124037,Free State of Jones,16.83836715,-9.9999,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
tt1540011,Blair Witch,16.83678132,-9.9999,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
tt4824308,God's Not Dead 2,16.83666166,-9.9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0120834,Snow Falling on Cedars,16.83642417,-9.9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0297162,Half Past Dead,16.83637809,-9.9999,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0870111,Frost/Nixon,16.83588364,-9.9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
tt5776858,Phantom Thread,16.83582092,-9.9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
tt0119683,Les Misérables,16.83573434,-9.9999,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0327247,The Whole Ten Yards,16.8352632,-9.9999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
tt4530422,Overlord,16.83525489,-9.9999,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
tt0298845,In America,16.83456477,-9.9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt7390646,Black and Blue,16.83311934,-9.9999,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
